topic_group,date_utc,rows_total,body_removed_count,body_deleted_count,author_deleted_count,automod_author_count,stickied_count,bot_name_heuristic_count,date,days_from_event,body_removed_rate_pct,body_deleted_rate_pct,author_deleted_rate_pct,automod_author_rate_pct,stickied_rate_pct,bot_name_heuristic_rate_pct
marketing,2022-12-04,801,24,15,44,70,66,5,2022-12-04,4,2.9962546816479403,1.8726591760299627,5.493133583021224,8.739076154806492,8.239700374531834,0.6242197253433208
marketing,2022-12-05,715,23,13,40,92,88,0,2022-12-05,5,3.2167832167832167,1.8181818181818181,5.594405594405594,12.867132867132867,12.307692307692308,0.0
marketing,2022-12-06,908,44,19,77,96,89,3,2022-12-06,6,4.845814977973569,2.092511013215859,8.480176211453745,10.572687224669604,9.801762114537445,0.3303964757709251
marketing,2022-12-07,1142,36,31,69,122,107,2,2022-12-07,7,3.1523642732049035,2.714535901926445,6.0420315236427315,10.683012259194395,9.369527145359019,0.17513134851138354
marketing,2022-12-08,911,28,18,51,99,91,4,2022-12-08,8,3.0735455543358947,1.9758507135016465,5.598243688254665,10.867178924259056,9.989023051591657,0.43907793633369924
marketing,2022-12-09,911,44,40,90,79,76,8,2022-12-09,9,4.829857299670691,4.390779363336993,9.879253567508233,8.67178924259056,8.342480790340286,0.8781558726673985
marketing,2022-12-10,112,4,3,7,10,10,0,2022-12-10,10,3.571428571428571,2.6785714285714284,6.25,8.928571428571429,8.928571428571429,0.0
marketing,2023-01-01,6,0,0,0,1,1,0,2023-01-01,32,0.0,0.0,0.0,16.666666666666664,16.666666666666664,0.0
marketing,2023-02-01,18,1,0,1,3,2,0,2023-02-01,63,5.555555555555555,0.0,5.555555555555555,16.666666666666664,11.11111111111111,0.0
marketing,2023-03-01,6,0,0,1,0,0,0,2023-03-01,91,0.0,0.0,16.666666666666664,0.0,0.0,0.0
marketing,2023-04-01,17,1,1,2,1,1,0,2023-04-01,122,5.88235294117647,5.88235294117647,11.76470588235294,5.88235294117647,5.88235294117647,0.0
medicine,2022-11-01,1227,11,45,64,186,24,7,2022-11-01,-29,0.8964955175224123,3.6674816625916873,5.215973920130399,15.158924205378973,1.9559902200488997,0.5704971475142625
medicine,2022-11-02,1832,31,82,128,215,20,4,2022-11-02,-28,1.6921397379912666,4.475982532751091,6.986899563318777,11.735807860262009,1.0917030567685588,0.21834061135371177
medicine,2022-11-03,1981,16,97,147,228,34,2,2022-11-03,-27,0.8076728924785461,4.8965169106511865,7.420494699646643,11.509338717819283,1.7163048965169108,0.10095911155981827
medicine,2022-11-04,2905,19,143,181,180,25,6,2022-11-04,-26,0.6540447504302926,4.922547332185887,6.230636833046472,6.196213425129088,0.8605851979345954,0.2065404475043029
medicine,2022-11-05,1709,32,86,161,198,18,7,2022-11-05,-25,1.8724400234055003,5.032182562902282,9.420713867758923,11.585722644821534,1.0532475131655938,0.40959625511995323
